Time resolution is 1 ps
Time |   A   B  Cin ||  Sum  Cout
-----------------------------------
               10000 | 0000 0000   0  || 0000   0
               20000 | 0000 0000   1  || 0001   0
               30000 | 0000 0001   0  || 0001   0
               40000 | 0000 0001   1  || 0010   0
               50000 | 0000 0010   0  || 0010   0
               60000 | 0000 0010   1  || 0011   0
               70000 | 0000 0011   0  || 0011   0
               80000 | 0000 0011   1  || 0100   0
               90000 | 0000 0100   0  || 0100   0
              100000 | 0000 0100   1  || 0101   0
              110000 | 0000 0101   0  || 0101   0
              120000 | 0000 0101   1  || 0110   0
              130000 | 0000 0110   0  || 0110   0
              140000 | 0000 0110   1  || 0111   0
              150000 | 0000 0111   0  || 0111   0
              160000 | 0000 0111   1  || 1000   0
              170000 | 0000 1000   0  || 1000   0
              180000 | 0000 1000   1  || 1001   0
              190000 | 0000 1001   0  || 1001   0
              200000 | 0000 1001   1  || 1010   0
              210000 | 0000 1010   0  || 1010   0
              220000 | 0000 1010   1  || 1011   0
              230000 | 0000 1011   0  || 1011   0
              240000 | 0000 1011   1  || 1100   0
              250000 | 0000 1100   0  || 1100   0
              260000 | 0000 1100   1  || 1101   0
              270000 | 0000 1101   0  || 1101   0
              280000 | 0000 1101   1  || 1110   0
              290000 | 0000 1110   0  || 1110   0
              300000 | 0000 1110   1  || 1111   0
              310000 | 0000 1111   0  || 1111   0
              320000 | 0000 1111   1  || 0000   1
              330000 | 0001 0000   0  || 0001   0
              340000 | 0001 0000   1  || 0010   0
              350000 | 0001 0001   0  || 0010   0
              360000 | 0001 0001   1  || 0011   0
              370000 | 0001 0010   0  || 0011   0
              380000 | 0001 0010   1  || 0100   0
              390000 | 0001 0011   0  || 0100   0
              400000 | 0001 0011   1  || 0101   0
              410000 | 0001 0100   0  || 0101   0
              420000 | 0001 0100   1  || 0110   0
              430000 | 0001 0101   0  || 0110   0
              440000 | 0001 0101   1  || 0111   0
              450000 | 0001 0110   0  || 0111   0
              460000 | 0001 0110   1  || 1000   0
              470000 | 0001 0111   0  || 1000   0
              480000 | 0001 0111   1  || 1001   0
              490000 | 0001 1000   0  || 1001   0
              500000 | 0001 1000   1  || 1010   0
              510000 | 0001 1001   0  || 1010   0
              520000 | 0001 1001   1  || 1011   0
              530000 | 0001 1010   0  || 1011   0
              540000 | 0001 1010   1  || 1100   0
              550000 | 0001 1011   0  || 1100   0
              560000 | 0001 1011   1  || 1101   0
              570000 | 0001 1100   0  || 1101   0
              580000 | 0001 1100   1  || 1110   0
              590000 | 0001 1101   0  || 1110   0
              600000 | 0001 1101   1  || 1111   0
              610000 | 0001 1110   0  || 1111   0
              620000 | 0001 1110   1  || 0000   1
              630000 | 0001 1111   0  || 0000   1
              640000 | 0001 1111   1  || 0001   1
              650000 | 0010 0000   0  || 0010   0
              660000 | 0010 0000   1  || 0011   0
              670000 | 0010 0001   0  || 0011   0
              680000 | 0010 0001   1  || 0100   0
              690000 | 0010 0010   0  || 0100   0
              700000 | 0010 0010   1  || 0101   0
              710000 | 0010 0011   0  || 0101   0
              720000 | 0010 0011   1  || 0110   0
              730000 | 0010 0100   0  || 0110   0
              740000 | 0010 0100   1  || 0111   0
              750000 | 0010 0101   0  || 0111   0
              760000 | 0010 0101   1  || 1000   0
              770000 | 0010 0110   0  || 1000   0
              780000 | 0010 0110   1  || 1001   0
              790000 | 0010 0111   0  || 1001   0
              800000 | 0010 0111   1  || 1010   0
              810000 | 0010 1000   0  || 1010   0
              820000 | 0010 1000   1  || 1011   0
              830000 | 0010 1001   0  || 1011   0
              840000 | 0010 1001   1  || 1100   0
              850000 | 0010 1010   0  || 1100   0
              860000 | 0010 1010   1  || 1101   0
              870000 | 0010 1011   0  || 1101   0
              880000 | 0010 1011   1  || 1110   0
              890000 | 0010 1100   0  || 1110   0
              900000 | 0010 1100   1  || 1111   0
              910000 | 0010 1101   0  || 1111   0
              920000 | 0010 1101   1  || 0000   1
              930000 | 0010 1110   0  || 0000   1
              940000 | 0010 1110   1  || 0001   1
              950000 | 0010 1111   0  || 0001   1
              960000 | 0010 1111   1  || 0010   1
              970000 | 0011 0000   0  || 0011   0
              980000 | 0011 0000   1  || 0100   0
              990000 | 0011 0001   0  || 0100   0
             1000000 | 0011 0001   1  || 0101   0
